year,month,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),station,latitude,longitude
1997,12,9.1,4.7,2.0,64.8,50.1,aberporth,52.139,4.57
1998,1,8.0,3.5,7.0,125.2,69.8,aberporth,52.139,4.57
1998,2,9.9,5.5,1.0,18.2,78.5,aberporth,52.139,4.57
1998,3,10.1,6.1,0.0,87.6,80.0,aberporth,52.139,4.57
1998,4,10.2,4.6,1.0,111.4,177.2,aberporth,52.139,4.57
1998,5,14.6,9.3,0.0,15.0,233.6,aberporth,52.139,4.57
1998,6,16.1,10.6,0.0,120.2,178.5,aberporth,52.139,4.57
1998,7,16.4,12.1,0.0,39.4,144.3,aberporth,52.139,4.57
1998,8,17.9,12.0,0.0,43.4,207.3,aberporth,52.139,4.57
1998,9,17.0,12.0,0.0,91.2,135.2,aberporth,52.139,4.57
1998,10,13.4,8.9,0.0,124.2,91.6,aberporth,52.139,4.57
1998,11,9.7,5.6,0.0,103.0,69.9,aberporth,52.139,4.57
1998,12,9.1,3.9,5.0,91.6,32.8,aberporth,52.139,4.57
1999,1,8.7,3.8,5.0,143.0,55.1,aberporth,52.139,4.57
1999,2,8.0,4.1,2.0,48.6,63.5,aberporth,52.139,4.57
1999,3,9.4,4.8,0.0,59.2,101.6,aberporth,52.139,4.57
1999,4,11.5,6.4,0.0,63.1,163.5,aberporth,52.139,4.57
1999,5,14.8,9.3,0.0,42.6,153.8,aberporth,52.139,4.57
1999,6,15.6,10.0,0.0,59.4,199.9,aberporth,52.139,4.57
1999,7,19.7,13.0,0.0,14.6,233.4,aberporth,52.139,4.57
1999,8,18.7,12.6,0.0,126.8,191.4,aberporth,52.139,4.57
1999,9,17.5,11.4,0.0,101.8,140.4,aberporth,52.139,4.57
1999,10,13.7,8.7,0.0,84.8,118.5,aberporth,52.139,4.57
1999,11,10.6,6.6,1.0,74.2,66.4,aberporth,52.139,4.57
1999,12,8.5,4.2,3.0,136.4,42.1,aberporth,52.139,4.57
2000,1,7.8,3.6,3.0,54.4,51.9,aberporth,52.139,4.57
2000,2,8.6,4.3,1.0,107.0,96.3,aberporth,52.139,4.57
2000,3,9.3,4.7,0.0,28.8,138.5,aberporth,52.139,4.57
2000,4,10.3,4.2,0.0,87.6,159.9,aberporth,52.139,4.57
2000,5,14.4,8.3,0.0,58.4,230.9,aberporth,52.139,4.57
2000,6,16.9,10.7,0.0,53.8,194.7,aberporth,52.139,4.57
2000,7,17.5,11.8,0.0,75.2,218.4,aberporth,52.139,4.57
